text,label
show me smartphones,browse
find me a good laptop,browse
what cameras do you have,browse
show me running shoes,browse
display watches under 5000,browse
i want to buy a phone,purchase
add this laptop to cart,purchase
place an order for camera,purchase
buy these shoes now,purchase
order the watch please,purchase
which is better phone a or b,compare
compare these two laptops,compare
difference between camera models,compare
which shoes are better,compare
compare prices of watches,compare
reserve this item for me,reserve
hold this phone for me,reserve
book the laptop in store,reserve
i want to try this in store,reserve
can you reserve this camera,reserve
i need to return this item,support
where is my order,support
refund for damaged product,support
complaint about delivery,support
exchange policy for watch,support
show me some phones,browse
i'm looking for a laptop,browse
need a good camera,browse
looking for running shoes,browse
want to see watches,browse
would like to purchase a phone,purchase
want to buy a laptop,purchase
need to order a camera,purchase
gonna buy some shoes,purchase
will purchase the watch,purchase
which phone is better,compare
laptop comparison,compare
camera comparison,compare
shoe comparison,compare
watch comparison,compare
can you hold this item,reserve
reserve for me,reserve
put this aside,reserve
save this for later,reserve
hold for me,reserve
return item,support
order status,support
delivery complaint,support
refund request,support
exchange item,support
check out these phones,browse
take a look at laptops,browse
have a look at cameras,browse
examine running shoes,browse
view watches,browse
i'd like to get a phone,purchase
intend to buy laptop,purchase
planning to order camera,purchase
thinking of buying shoes,purchase
considering purchasing watch,purchase
better option phone,compare
laptop vs laptop,compare
camera versus camera,compare
shoes vs shoes,compare
watches vs watches,compare
set aside item,reserve
keep for me,reserve
lock in item,reserve
secure this,reserve
hold this,reserve
return merchandise,support
track order,support
delivery issue,support
get refund,support
swap item,support
any good phones,browse
good laptops available,browse
best cameras,browse
nice running shoes,browse
cool watches,browse
get a phone,purchase
acquire laptop,purchase
obtain camera,purchase
obtain shoes,purchase
obtain watch,purchase
phone comparison,compare
laptop comparison chart,compare
camera comparison,compare
shoe comparison,compare
watch comparison,compare
save for later,reserve
store for me,reserve
park this item,reserve
stash this,reserve
temporarily hold,reserve
merchandise return,support
order inquiry,support
shipping problem,support
money back,support
replace item,support
give me phones,browse
present laptops,browse
offer cameras,browse
suggest shoes,browse
recommend watches,browse
procure phone,purchase
secure laptop,purchase
acquire camera,purchase
obtain shoes,purchase
get watch,purchase
analyze phone options,compare
evaluate laptop options,compare
assess camera options,compare
review shoe options,compare
check watch options,compare
mark as reserved,reserve
flag for holding,reserve
tag for reservation,reserve
designate for me,reserve
allocate to me,reserve
process return,support
check status,support
report shipping delay,support
request money refund,support
ask for replacement,support
