sku,title,category,brand,price,description,attributes,tags,image_filename,store_availability,warehouse_stock,rating
PRD-FT-0001,Nike Purpose Footwear,Footwear,Nike,12649,Eius eius dolor tempora consectetur sed. Amet quaerat modi aliquam adipisci amet dolorem eius. Quiquia adipisci porro dolorem sit quisquam sit porro. Upper material: Denim; Color: Red; Care: Agent every development say.,"{""size_range"": [""US 6"", ""US 7"", ""US 8"", ""US 9"", ""US 10"", ""US 11""], ""colors"": [""Pink"", ""Brown"", ""Green""], ""material"": ""Cotton""}","[""require"", ""sit"", ""footwear""]",PRD-FT-0001.png,"{""store_1"": 5, ""store_2"": 13, ""store_3"": 10, ""store_4"": 8, ""store_5"": 4}",55,4.9
PRD-AC-0002,Ray-Ban Wait Accessorie,Accessories,Ray-Ban,2019,Consectetur labore labore quiquia est velit aliquam. Porro consectetur magnam amet porro etincidunt voluptatem. Labore quaerat dolorem sit amet aliquam sed eius. Upper material: Wool; Color: White; Care: Beautiful instead ahead despite measure ago curren,"{""size_range"": [""One Size""], ""colors"": [""Red"", ""White"", ""Purple""], ""material"": ""Wool""}","[""rate"", ""science"", ""accessories""]",PRD-AC-0002.png,"{""store_1"": 14, ""store_2"": 20, ""store_3"": 11, ""store_4"": 5, ""store_5"": 11}",90,3.4
PRD-AC-0003,Ray-Ban Offer Accessorie,Accessories,Ray-Ban,10480,Porro tempora eius dolore neque. Est quisquam sit porro eius sed ipsum. Eius voluptatem aliquam velit. Upper material: Silk; Color: Purple; Care: Determine operation speak according south recently,"{""size_range"": [""One Size""], ""colors"": [""Green"", ""White"", ""Red""], ""material"": ""Silk""}","[""grow"", ""fall"", ""accessories""]",PRD-AC-0003.png,"{""store_1"": 6, ""store_2"": 20, ""store_3"": 15, ""store_4"": 12, ""store_5"": 20}",117,3.3
PRD-AP-0004,Zara Clearly Apparel,Apparel,Zara,12705,Porro est tempora quaerat modi quaerat magnam labore. Dolor numquam non amet ut. Consectetur dolor quisquam dolore. Upper material: Denim; Color: Brown; Care: Whatever from behavior benefit suggest.,"{""size_range"": [""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""], ""colors"": [""White"", ""Purple"", ""Brown""], ""material"": ""Linen""}","[""PM"", ""everything"", ""apparel""]",PRD-AP-0004.png,"{""store_1"": 16, ""store_2"": 8, ""store_3"": 17, ""store_4"": 0, ""store_5"": 3}",174,4.8
PRD-AC-0005,Coach Surface Accessorie,Accessories,Coach,2327,Modi dolore neque adipisci tempora tempora. Numquam ut dolore numquam consectetur quisquam. Voluptatem quisquam numquam quiquia dolorem dolor. Upper material: Silk; Color: Blue; Care: Role movie win.,"{""size_range"": [""One Size""], ""colors"": [""Orange"", ""Grey"", ""Black""], ""material"": ""Silk""}","[""human"", ""bar"", ""accessories""]",PRD-AC-0005.png,"{""store_1"": 15, ""store_2"": 0, ""store_3"": 3, ""store_4"": 11, ""store_5"": 9}",61,3.1
PRD-HM-0006,IKEA Old Home,Home,IKEA,1903,Voluptatem amet ut porro ut dolor dolor. Porro dolore est numquam quiquia modi dolorem. Ut tempora sit dolorem sit etincidunt magnam sed. Upper material: Silk; Color: Pink; Care: Stop peace technology officer relate.,"{""size_range"": [""Small"", ""Medium"", ""Large""], ""colors"": [""Orange"", ""Pink"", ""White""], ""material"": ""Nylon""}","[""answer"", ""recently"", ""home""]",PRD-HM-0006.png,"{""store_1"": 7, ""store_2"": 2, ""store_3"": 10, ""store_4"": 0, ""store_5"": 18}",141,3.5
PRD-AP-0007,Uniqlo Drive Apparel,Apparel,Uniqlo,1663,Eius amet aliquam ipsum. Numquam eius est sed. Dolorem porro dolor tempora quaerat quaerat non. Upper material: Nylon; Color: Pink; Care: World talk term herself law.,"{""size_range"": [""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""], ""colors"": [""Purple"", ""Red"", ""White""], ""material"": ""Polyester""}","[""they"", ""his"", ""apparel""]",PRD-AP-0007.png,"{""store_1"": 13, ""store_2"": 11, ""store_3"": 13, ""store_4"": 13, ""store_5"": 14}",186,3.1
PRD-FT-0008,Nike Commercial Footwear,Footwear,Nike,7096,Velit consectetur eius dolorem dolorem porro. Dolor modi dolore est neque eius amet. Velit porro consectetur aliquam quisquam porro voluptatem. Upper material: Cotton; Color: White; Care: Great prove reduce raise author play.,"{""size_range"": [""US 6"", ""US 7"", ""US 8"", ""US 9"", ""US 10"", ""US 11""], ""colors"": [""Red"", ""Blue"", ""Purple""], ""material"": ""Linen""}","[""none"", ""shoulder"", ""footwear""]",PRD-FT-0008.png,"{""store_1"": 15, ""store_2"": 6, ""store_3"": 12, ""store_4"": 1, ""store_5"": 5}",97,3.0
PRD-TC-0009,Sony Election Tech,Tech,Sony,13346,Etincidunt modi sit tempora velit porro sed. Dolor dolorem etincidunt dolorem aliquam quaerat tempora. Aliquam tempora ipsum aliquam aliquam quaerat non numquam. Upper material: Leather; Color: Black; Care: Left establish understand read.,"{""size_range"": [""N/A""], ""colors"": [""Orange"", ""White"", ""Blue""], ""material"": ""Polyester""}","[""discuss"", ""reveal"", ""tech""]",PRD-TC-0009.png,"{""store_1"": 19, ""store_2"": 2, ""store_3"": 7, ""store_4"": 12, ""store_5"": 3}",145,3.5
PRD-HM-0010,IKEA Garden Home,Home,IKEA,10647,Modi sed quaerat quaerat. Ipsum est dolorem sed sit ipsum eius est. Dolor sed quisquam etincidunt neque ipsum ut. Upper material: Polyester; Color: Black; Care: Director allow firm environment.,"{""size_range"": [""Small"", ""Medium"", ""Large""], ""colors"": [""Pink"", ""Brown"", ""White""], ""material"": ""Polyester""}","[""development"", ""white"", ""home""]",PRD-HM-0010.png,"{""store_1"": 17, ""store_2"": 6, ""store_3"": 16, ""store_4"": 8, ""store_5"": 4}",89,4.8
PRD-AP-0011,H&M Yes Apparel,Apparel,H&M,5169,Neque voluptatem porro sit etincidunt. Velit quisquam numquam adipisci sed voluptatem porro etincidunt. Dolor est consectetur consectetur. Upper material: Leather; Color: Green; Care: Then fire pretty how trip learn enter.,"{""size_range"": [""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""], ""colors"": [""Green"", ""Brown"", ""Red""], ""material"": ""Silk""}","[""employee"", ""size"", ""apparel""]",PRD-AP-0011.png,"{""store_1"": 6, ""store_2"": 20, ""store_3"": 8, ""store_4"": 16, ""store_5"": 15}",64,4.8
